cbsa_code,metro_name,rpp
43620,"Sioux Falls, SD-MN (Metropolitan Statistical Area)",90.631
43640,"Slidell-Mandeville-Covington, LA (Metropolitan Statistical Area)",92.726
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",92.858
43900,"Spartanburg, SC (Metropolitan Statistical Area)",91.051
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",100.346
44100,"Springfield, IL (Metropolitan Statistical Area)",92.745
44140,"Springfield, MA (Metropolitan Statistical Area)",96.061
44180,"Springfield, MO (Metropolitan Statistical Area)",88.585
44220,"Springfield, OH (Metropolitan Statistical Area)",90.482
44300,"State College, PA (Metropolitan Statistical Area)",96.762
44420,"Staunton-Stuarts Draft, VA (Metropolitan Statistical Area)",91.128
44700,"Stockton-Lodi, CA (Metropolitan Statistical Area)",105.089
44940,"Sumter, SC (Metropolitan Statistical Area)",88.020
45060,"Syracuse, NY (Metropolitan Statistical Area)",95.742
45220,"Tallahassee, FL (Metropolitan Statistical Area)",93.919
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",100.890
45460,"Terre Haute, IN (Metropolitan Statistical Area)",87.797
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",84.012
45780,"Toledo, OH (Metropolitan Statistical Area)",91.455
45820,"Topeka, KS (Metropolitan Statistical Area)",88.820
45900,"Traverse City, MI (Metropolitan Statistical Area)",93.372
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",103.180
46060,"Tucson, AZ (Metropolitan Statistical Area)",96.896
46140,"Tulsa, OK (Metropolitan Statistical Area)",89.214
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",87.722
46300,"Twin Falls, ID (Metropolitan Statistical Area) *",92.108
46340,"Tyler, TX (Metropolitan Statistical Area)",92.156
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",110.961
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",92.678
46660,"Valdosta, GA (Metropolitan Statistical Area)",88.271
46700,"Vallejo, CA (Metropolitan Statistical Area)",108.479
47020,"Victoria, TX (Metropolitan Statistical Area)",89.839
47220,"Vineland, NJ (Metropolitan Statistical Area)",95.968
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC (Metropolitan Statistical Area)",97.941
47300,"Visalia, CA (Metropolitan Statistical Area)",99.825
47380,"Waco, TX (Metropolitan Statistical Area)",92.550
47460,"Walla Walla, WA (Metropolitan Statistical Area)",98.519
47580,"Warner Robins, GA (Metropolitan Statistical Area)",93.789
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",108.884
47930,"Waterbury-Shelton, CT (Metropolitan Statistical Area)",99.778
