cbsa_code,metro_name_x,employment,median_wage,metro_name_y,bachelors_or_higher_pct,metro_name,rpp
19430,"Dayton-Kettering-Beavercreek, OH",372660,49980,"Dayton-Kettering-Beavercreek, OH Metro Area",32.8,"Dayton-Kettering-Beavercreek, OH (Metropolitan Statistical Area)",92.694
19460,"Decatur, AL",61240,46280,"Decatur, AL Metro Area",21.5,"Decatur, AL (Metropolitan Statistical Area)",87.212
19500,"Decatur, IL",45550,51290,"Decatur, IL Metro Area",24.4,"Decatur, IL (Metropolitan Statistical Area)",88.422
19660,"Deltona-Daytona Beach-Ormond Beach, FL",219740,44940,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",28.9,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",99.367
19740,"Denver-Aurora-Centennial, CO",1609350,62320,"Denver-Aurora-Centennial, CO Metro Area",49.4,"Denver-Aurora-Centennial, CO (Metropolitan Statistical Area)",105.782
19780,"Des Moines-West Des Moines, IA",404130,51820,"Des Moines-West Des Moines, IA Metro Area",39.7,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",91.701
19820,"Detroit-Warren-Dearborn, MI",1904530,52080,"Detroit-Warren-Dearborn, MI Metro Area",34.8,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",100.298
20020,"Dothan, AL",60720,38170,"Dothan, AL Metro Area",21.2,"Dothan, AL (Metropolitan Statistical Area)",83.833
20100,"Dover, DE",68080,46690,"Dover, DE Metro Area",27.5,"Dover, DE (Metropolitan Statistical Area)",97.507
20220,"Dubuque, IA",58470,48750,"Dubuque, IA Metro Area",33.4,"Dubuque, IA (Metropolitan Statistical Area)",87.328
20260,"Duluth, MN-WI",124710,50000,"Duluth, MN-WI Metro Area",31.8,"Duluth, MN-WI (Metropolitan Statistical Area)",88.768
20500,"Durham-Chapel Hill, NC",344020,60720,"Durham-Chapel Hill, NC Metro Area",53.4,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",97.572
20580,"Eagle Pass, TX",18820,35560,"Eagle Pass, TX Metro Area",14.3,"Eagle Pass, TX (Metropolitan Statistical Area)",83.805
20740,"Eau Claire, WI",86060,48100,"Eau Claire, WI Metro Area",31.6,"Eau Claire, WI (Metropolitan Statistical Area)",92.796
20940,"El Centro, CA",65430,45140,"El Centro, CA Metro Area",16.1,"El Centro, CA (Metropolitan Statistical Area)",95.174
21060,"Elizabethtown, KY",51540,46810,"Elizabethtown, KY Metro Area",23.7,"Elizabethtown, KY (Metropolitan Statistical Area)",90.572
21140,"Elkhart-Goshen, IN",127730,48070,"Elkhart-Goshen, IN Metro Area",20.1,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",90.325
21300,"Elmira, NY",33600,47850,"Elmira, NY Metro Area",27.2,"Elmira, NY (Metropolitan Statistical Area)",94.398
21340,"El Paso, TX",339120,39510,"El Paso, TX Metro Area",25.9,"El Paso, TX (Metropolitan Statistical Area)",89.912
21420,"Enid, OK",23320,40500,"Enid, OK Metro Area",23.3,"Enid, OK (Metropolitan Statistical Area) *",84.269
21500,"Erie, PA",120480,44460,"Erie, PA Metro Area",30.3,"Erie, PA (Metropolitan Statistical Area)",90.95
21660,"Eugene-Springfield, OR",157710,49680,"Eugene-Springfield, OR Metro Area",34.0,"Eugene-Springfield, OR (Metropolitan Statistical Area)",101.568
21780,"Evansville, IN",135250,46540,"Evansville, IN Metro Area",29.3,"Evansville, IN (Metropolitan Statistical Area)",91.528
21820,"Fairbanks-College, AK",36430,61810,"Fairbanks-College, AK Metro Area",33.1,"Fairbanks-College, AK (Metropolitan Statistical Area)",103.208
22020,"Fargo, ND-MN",148660,51050,"Fargo, ND-MN Metro Area",41.8,"Fargo, ND-MN (Metropolitan Statistical Area)",90.871
22140,"Farmington, NM",47670,45820,"Farmington, NM Metro Area",18.3,"Farmington, NM (Metropolitan Statistical Area)",87.707
22180,"Fayetteville, NC",131430,45620,"Fayetteville, NC Metro Area",27.2,"Fayetteville, NC (Metropolitan Statistical Area)",91.978
22220,"Fayetteville-Springdale-Rogers, AR",275180,46610,"Fayetteville-Springdale-Rogers, AR Metro Area",35.9,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",91.353
22380,"Flagstaff, AZ",66610,47500,"Flagstaff, AZ Metro Area",40.3,"Flagstaff, AZ (Metropolitan Statistical Area)",100.325
22420,"Flint, MI",135040,45880,"Flint, MI Metro Area",23.3,"Flint, MI (Metropolitan Statistical Area)",93.034
22500,"Florence, SC",89060,43520,"Florence, SC Metro Area",23.0,"Florence, SC (Metropolitan Statistical Area)",86.774
22520,"Florence-Muscle Shoals, AL",56100,39740,"Florence-Muscle Shoals, AL Metro Area",26.7,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",84.817
22540,"Fond du Lac, WI",43900,50340,"Fond du Lac, WI Metro Area",22.3,"Fond du Lac, WI (Metropolitan Statistical Area)",91.643
22660,"Fort Collins-Loveland, CO",169430,55310,"Fort Collins-Loveland, CO Metro Area",53.0,"Fort Collins-Loveland, CO (Metropolitan Statistical Area)",101.128
22900,"Fort Smith, AR-OK",95560,39560,"Fort Smith, AR-OK Metro Area",21.0,"Fort Smith, AR-OK (Metropolitan Statistical Area)",85.888
23060,"Fort Wayne, IN",225520,47700,"Fort Wayne, IN Metro Area",30.2,"Fort Wayne, IN (Metropolitan Statistical Area)",92.572
23420,"Fresno, CA",476890,46910,"Fresno, CA Metro Area",23.4,"Fresno, CA (Metropolitan Statistical Area)",102.158
23460,"Gadsden, AL",33220,36660,"Gadsden, AL Metro Area",18.1,"Gadsden, AL (Metropolitan Statistical Area)",85.653
23540,"Gainesville, FL",152670,47020,"Gainesville, FL Metro Area",41.8,"Gainesville, FL (Metropolitan Statistical Area)",96.733
23580,"Gainesville, GA",103870,45900,"Gainesville, GA Metro Area",27.3,"Gainesville, GA (Metropolitan Statistical Area)",96.766
23900,"Gettysburg, PA",31940,46610,"Gettysburg, PA Metro Area",25.8,"Gettysburg, PA (Metropolitan Statistical Area)",95.379
24020,"Glens Falls, NY",50130,49090,"Glens Falls, NY Metro Area",29.7,"Glens Falls, NY (Metropolitan Statistical Area)",94.866
24140,"Goldsboro, NC",40320,40570,"Goldsboro, NC Metro Area",21.7,"Goldsboro, NC (Metropolitan Statistical Area)",88.462
24220,"Grand Forks, ND-MN",52000,49760,"Grand Forks, ND-MN Metro Area",34.8,"Grand Forks, ND-MN (Metropolitan Statistical Area)",86.663
24260,"Grand Island, NE",39520,49410,"Grand Island, NE Metro Area",21.5,"Grand Island, NE (Metropolitan Statistical Area)",86.657
24300,"Grand Junction, CO",67170,48510,"Grand Junction, CO Metro Area",32.3,"Grand Junction, CO (Metropolitan Statistical Area)",95.476
24340,"Grand Rapids-Wyoming-Kentwood, MI",598260,47570,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",36.5,"Grand Rapids-Wyoming-Kentwood, MI (Metropolitan Statistical Area)",95.546
24420,"Grants Pass, OR",30540,50730,"Grants Pass, OR Metro Area",19.7,"Grants Pass, OR (Metropolitan Statistical Area)",97.76
24500,"Great Falls, MT",36510,46510,"Great Falls, MT Metro Area",28.4,"Great Falls, MT (Metropolitan Statistical Area)",96.845
24540,"Greeley, CO",119540,55070,"Greeley, CO Metro Area",33.2,"Greeley, CO (Metropolitan Statistical Area)",100.176
24580,"Green Bay, WI",174550,49940,"Green Bay, WI Metro Area",30.9,"Green Bay, WI (Metropolitan Statistical Area)",93.086
24660,"Greensboro-High Point, NC",365410,46570,"Greensboro-High Point, NC Metro Area",32.2,"Greensboro-High Point, NC (Metropolitan Statistical Area)",92.865
24780,"Greenville, NC",80770,46560,"Greenville, NC Metro Area",33.8,"Greenville, NC (Metropolitan Statistical Area)",88.402
24860,"Greenville-Anderson-Greer, SC",434900,46580,"Greenville-Anderson-Greer, SC Metro Area",34.6,"Greenville-Anderson-Greer, SC (Metropolitan Statistical Area)",93.26
25060,"Gulfport-Biloxi, MS",158310,43470,"Gulfport-Biloxi, MS Metro Area",26.7,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",90.006
25180,"Hagerstown-Martinsburg, MD-WV",107170,47440,"Hagerstown-Martinsburg, MD-WV Metro Area",24.2,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",94.171
25220,"Hammond, LA",47820,38480,"Hammond, LA Metro Area",20.8,"Hammond, LA (Metropolitan Statistical Area)",84.46
25260,"Hanford-Corcoran, CA",48820,48470,"Hanford-Corcoran, CA Metro Area",13.6,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",101.612
25420,"Harrisburg-Carlisle, PA",335010,49610,"Harrisburg-Carlisle, PA Metro Area",35.8,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",98.65
25500,"Harrisonburg, VA",65460,46110,"Harrisonburg, VA Metro Area",31.6,"Harrisonburg, VA (Metropolitan Statistical Area)",94.892
25540,"Hartford-West Hartford-East Hartford, CT",599770,59940,"Hartford-West Hartford-East Hartford, CT Metro Area",42.7,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",102.746
25620,"Hattiesburg, MS",62230,37750,"Hattiesburg, MS Metro Area",30.9,"Hattiesburg, MS (Metropolitan Statistical Area)",87.633
25740,"Helena, MT",44420,55040,"Helena, MT Metro Area",40.2,"Helena, MT (Metropolitan Statistical Area)",95.675
25860,"Hickory-Lenoir-Morganton, NC",154090,45220,"Hickory-Lenoir-Morganton, NC Metro Area",22.3,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",88.486
25940,"Hilton Head Island-Bluffton-Port Royal, SC",81920,43850,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",43.1,"Hilton Head Island-Bluffton-Port Royal, SC (Metropolitan Statistical Area)",98.017
25980,"Hinesville, GA",20330,46670,"Hinesville, GA Metro Area",18.8,"Hinesville, GA (Metropolitan Statistical Area)",93.933
26140,"Homosassa Springs, FL",35580,41360,"Homosassa Springs, FL Metro Area",20.6,"Homosassa Springs, FL (Metropolitan Statistical Area)",93.467
26300,"Hot Springs, AR",38600,36540,"Hot Springs, AR Metro Area",25.3,"Hot Springs, AR (Metropolitan Statistical Area)",85.73
26380,"Houma-Bayou Cane-Thibodaux, LA",83440,45610,"Houma-Bayou Cane-Thibodaux, LA Metro Area",19.9,"Houma-Bayou Cane-Thibodaux, LA (Metropolitan Statistical Area)",85.103
26420,"Houston-Pasadena-The Woodlands, TX",3289720,49410,"Houston-Pasadena-The Woodlands, TX Metro Area",36.0,"Houston-Pasadena-The Woodlands, TX (Metropolitan Statistical Area)",98.629
26580,"Huntington-Ashland, WV-KY-OH",140740,44600,"Huntington-Ashland, WV-KY-OH Metro Area",23.5,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",88.422
26620,"Huntsville, AL",266650,51740,"Huntsville, AL Metro Area",42.9,"Huntsville, AL (Metropolitan Statistical Area)",93.072
26820,"Idaho Falls, ID",81840,46800,"Idaho Falls, ID Metro Area",31.7,"Idaho Falls, ID (Metropolitan Statistical Area)",94.412
26900,"Indianapolis-Carmel-Greenwood, IN",1105170,49340,"Indianapolis-Carmel-Greenwood, IN Metro Area",38.5,"Indianapolis-Carmel-Greenwood, IN (Metropolitan Statistical Area)",95.696
26980,"Iowa City, IA",93760,50060,"Iowa City, IA Metro Area",51.1,"Iowa City, IA (Metropolitan Statistical Area)",91.509
27060,"Ithaca, NY",47980,58130,"Ithaca, NY Metro Area",58.8,"Ithaca, NY (Metropolitan Statistical Area)",103.317
27100,"Jackson, MI",55930,47760,"Jackson, MI Metro Area",23.4,"Jackson, MI (Metropolitan Statistical Area)",91.779
27140,"Jackson, MS",270730,42850,"Jackson, MS Metro Area",32.2,"Jackson, MS (Metropolitan Statistical Area)",89.048
27180,"Jackson, TN",84530,44790,"Jackson, TN Metro Area",23.7,"Jackson, TN (Metropolitan Statistical Area)",85.522
27260,"Jacksonville, FL",765930,48830,"Jacksonville, FL Metro Area",36.5,"Jacksonville, FL (Metropolitan Statistical Area)",99.484
27340,"Jacksonville, NC",52570,40230,"Jacksonville, NC Metro Area",26.0,"Jacksonville, NC (Metropolitan Statistical Area)",92.085
27500,"Janesville-Beloit, WI",69870,48390,"Janesville-Beloit, WI Metro Area",25.8,"Janesville-Beloit, WI (Metropolitan Statistical Area)",93.703
27620,"Jefferson City, MO",80220,48030,"Jefferson City, MO Metro Area",31.1,"Jefferson City, MO (Metropolitan Statistical Area)",87.975
27740,"Johnson City, TN",81690,43480,"Johnson City, TN Metro Area",29.3,"Johnson City, TN (Metropolitan Statistical Area)",87.928
27780,"Johnstown, PA",47810,44110,"Johnstown, PA Metro Area",23.9,"Johnstown, PA (Metropolitan Statistical Area)",85.929
